,AM_IND,BLACK,HISP,ASIAN,WHITE,Multi,county,demographic
ALBANY AM_IND,1.9694156950001394,1.4545629724945586,1.0099975611260452,1.0845926961926478,0.8088886856886827,0.9291311831934003,ALBANY,AM_IND
ALBANY BLACK,1.4545629724945586,2.3673686496550763,1.488697874217871,0.7522709487421565,0.41944890718293887,0.9866763102888454,ALBANY,BLACK
ALBANY HISP,1.0099975611260452,1.4886978742178703,1.4415555850338344,0.9265878380411472,0.7233046744232422,1.1099524879628373,ALBANY,HISP
ALBANY ASIAN,1.084592696192648,0.7522709487421566,0.926587838041147,1.4726425539671353,1.0196323065837956,0.9844492383989711,ALBANY,ASIAN
ALBANY WHITE,0.8088886856886827,0.4194489071829388,0.7233046744232421,1.0196323065837958,1.282418557549055,0.9606141049516084,ALBANY,WHITE
ALBANY Multi,0.9291311831934002,0.9866763102888455,1.109952487962837,0.9844492383989712,0.9606141049516084,1.2195483620852694,ALBANY,Multi
ALLEGANY AM_IND,3.006435171963028,1.5491270172524085,0.7831142080008315,0.9800172949176795,1.0022744843557447,0.40165702554043636,ALLEGANY,AM_IND
ALLEGANY BLACK,1.5491270172524085,1.4789642229244357,0.9245588790540334,0.9214540787089479,0.9981258625509762,0.799567703940001,ALLEGANY,BLACK
ALLEGANY HISP,0.7831142080008316,0.9245588790540336,1.6708202864099477,1.4694995987013417,0.9837954563561745,0.9627694093593625,ALLEGANY,HISP
ALLEGANY ASIAN,0.9800172949176796,0.9214540787089479,1.4694995987013417,2.1576013127651223,0.9807813305852519,1.0067757498438827,ALLEGANY,ASIAN
ALLEGANY WHITE,1.0022744843557445,0.9981258625509764,0.9837954563561743,0.9807813305852517,1.0005854727448795,0.99634423978615,ALLEGANY,WHITE
ALLEGANY Multi,0.40165702554043636,0.7995677039400009,0.9627694093593624,1.0067757498438827,0.9963442397861499,1.534753132494632,ALLEGANY,Multi
BROOME AM_IND,3.905532227304209,0.961126221833861,0.9303282872533779,0.8558179090489524,1.0052102068402566,1.0706754117989423,BROOME,AM_IND
BROOME BLACK,0.9611262218338611,2.254285663955685,1.7172919501002646,1.077473573966524,0.706270140051831,1.49266052388057,BROOME,BLACK
BROOME HISP,0.9303282872533781,1.7172919501002644,1.5230903585693913,1.0507641091270221,0.8107127983089473,1.3675061426434205,BROOME,HISP
BROOME ASIAN,0.8558179090489524,1.0774735739665238,1.0507641091270221,2.8318032897885774,0.879681260065983,1.0717641813165635,BROOME,ASIAN
BROOME WHITE,1.0052102068402562,0.7062701400518308,0.8107127983089472,0.8796812600659829,1.079515223318707,0.8561157357486051,BROOME,WHITE
BROOME Multi,1.070675411798942,1.4926605238805697,1.367506142643421,1.0717641813165633,0.8561157357486051,1.355322097142392,BROOME,Multi
CATTARAUGUS AM_IND,4.344790873934574,0.43343614337395536,1.7497537343336336,0.4000871739420003,0.677731006284677,1.7786241490114758,CATTARAUGUS,AM_IND
CATTARAUGUS BLACK,0.43343614337395536,3.187332132210256,1.247696405247045,1.8555467939246135,0.981454256969284,1.1861159351490105,CATTARAUGUS,BLACK
CATTARAUGUS HISP,1.7497537343336338,1.247696405247045,1.3553737605144835,1.0309424938212368,0.9056301245571724,1.2955713364142565,CATTARAUGUS,HISP
