,component 1,component 2,component 3,county,demographic
ALBANY AM_IND,0.37139058105471656,0.0891848179155837,-0.22127166875263113,ALBANY,AM_IND
ALBANY BLACK,-0.13450377293085394,0.8865911936486774,-1.0567594168865724,ALBANY,BLACK
ALBANY HISP,-0.5835756720896045,0.22750437416960437,-0.4744266385513758,ALBANY,HISP
ALBANY ASIAN,-0.5210382448661225,-0.3448883720538415,0.43714883042346847,ALBANY,ASIAN
ALBANY WHITE,-0.7894395727815919,-0.9414523279176543,0.28558737161883,ALBANY,WHITE
ALBANY Multi,-0.6700888978190324,-0.28566132668685057,-0.09724184272954271,ALBANY,Multi
ALLEGANY AM_IND,1.4153009134315249,-0.05722263629130751,-0.2717019806126626,ALLEGANY,AM_IND
ALLEGANY BLACK,-0.04614681470177361,-0.054194364695260004,-0.31696524959610384,ALLEGANY,BLACK
ALLEGANY HISP,-0.8171768591999947,0.06286184468728472,0.221792476895785,ALLEGANY,HISP
ALLEGANY ASIAN,-0.6372179662224179,0.3153181709004423,0.850112605524253,ALLEGANY,ASIAN
ALLEGANY WHITE,-0.5941093771062573,-0.35921346107917884,-0.08970528914471124,ALLEGANY,WHITE
ALLEGANY Multi,-1.2041728729699863,-0.44812310662282984,0.045818075190358805,ALLEGANY,Multi
BROOME AM_IND,2.3085096005500088,-0.4213242663822717,-0.09768763580113139,BROOME,AM_IND
BROOME BLACK,-0.6460913787818889,1.0425250776450312,-0.6513205950746238,BROOME,BLACK
BROOME HISP,-0.6730761652724174,0.5083849133002559,-0.4189614678186051,BROOME,HISP
BROOME ASIAN,-0.7795485132910336,0.6194455315206369,1.4081594081366446,BROOME,ASIAN
BROOME WHITE,-0.5866685364622891,-0.7276039154180333,-0.024783464556251793,BROOME,WHITE
BROOME Multi,-0.5332448876451181,0.2789924380734804,-0.2738177973795974,BROOME,Multi
CATTARAUGUS AM_IND,2.75752981767694,-0.5872503341041418,-0.4539558801207634,CATTARAUGUS,AM_IND
CATTARAUGUS BLACK,-1.1976698838209456,1.8603008452453658,-0.21401548452817953,CATTARAUGUS,BLACK
